title,price,year,mileage,fuel,engine,transmission
Toyota Land Cruiser  2022 AX 3.5L for Sale,53000000.0,2022,9264.0,Petrol,3500.0,Automatic
Toyota Prado  2018 TX L Package 2.7 for Sale,24500000.0,2018,63040.0,Petrol,2700.0,Automatic
Toyota Aqua  2013 S for Sale,3279999.9999999995,2013,105000.0,Hybrid,1500.0,Automatic
Audi e-tron  2021 50 quattro 230 kW for Sale,15200000.0,2021,30246.0,Electric,60.0,Automatic
Changan Alsvin  2024 1.3L MT Comfort for Sale,3800000.0,2024,9518.0,Petrol,1300.0,Manual
KIA Sportage  2020 FWD for Sale,6200000.0,2020,58136.0,Petrol,2000.0,Automatic
KIA Picanto  2022 1.0 MT for Sale,2350000.0,2022,97363.0,Petrol,1000.0,Manual
Toyota Passo  2015 X V Package for Sale,2640000.0,2015,87000.0,Petrol,1000.0,Automatic
Honda N Wgn  2014 G for Sale,2450000.0,2014,163835.0,Petrol,660.0,Automatic
Ford Ranger  2022 Raptor 3.0L for Sale,31000000.0,2022,34993.0,Petrol,3000.0,Automatic
Honda Civic 7th Generation (Facelift) 2005 EXi Prosmatec for Sale,1750000.0,2005,98000.0,Petrol,1500.0,Automatic
Daihatsu Tanto  2021 X Turbo for Sale,3690000.0,2021,54334.0,Petrol,660.0,Automatic
Honda Civic  2017 1.8 i-VTEC CVT for Sale,4700000.0,2017,75000.0,Petrol,1800.0,Automatic
Suzuki Ravi  2015 Euro II for Sale,1200000.0,2015,84000.0,Petrol,800.0,Manual
Suzuki Bolan  2012 VX for Sale,1000000.0,2012,40000.0,Petrol,800.0,Manual
Suzuki Alto  2025 VXL AGS for Sale,3275000.0,2025,11000.0,Petrol,660.0,Automatic
Suzuki Alto  2022 VXR AGS for Sale,2650000.0,2022,60000.0,Petrol,660.0,Automatic
Suzuki Cultus  2004 VXR for Sale,630000.0,2004,150000.0,Petrol,1000.0,Manual
Suzuki Mehran  2004 VXR for Sale,450000.0,2004,100000.0,Petrol,800.0,Manual
